Release Name	Release Meta Language	Orchard Artist	Artist Country	Subaccount Name	Artist URL	Release Artist(s)-Primary Artist(s)	Release Artist(s)-Featuring(s)	Release Artist(s)-Remixer(s)	Release Artist(s)-Composer(s)	Release Artist(s)-Orchestra(s)	Release Artist(s)-Ensemble(s)	Release Artist(s)-Conductor(s)	Release Date	Sale Start Date	iTunes Pre-Order	iTunes Pre-Order Date	Preorder Preview	Album Pricing	Format: Full Length / EP / Single	Imprint	Genre	Sub-genre	[C] Information	Digital UPC	Manufacturer's UPC	Folder Name / Project Code	Product Code	Release Version	File Name	Volume	Track No.	Track Name	Track Audio Language	Version	Track Artist	Track Artist(s) - Featuring(s)	Track Artist(s) - Remixer(s)	Track Artist(s) - Composer(s)	Track Artist(s) - Orchestra(s)	Track Artist(s) - Ensemble(s)	Track Artist(s) - Conductor(s)	Track Pricing	Explicit (No/Yes/Clean)	ISRC	3rd Party Publisher? (Yes/No)	[P] Information	Ownership For This Sound Recording	Country of Recording	Nationality of Original Copyright Owner	Songwriter(s)	Publisher(s)	Performer 1 Type	Performer 1 Legal Name	Performer 1 Main Role	Performer 2 Type	Performer 2 Legal Name	Performer 2 Main Role	Performer 3 Type	Performer 3 Legal Name	Performer 3 Main Role	Performer 4 Type	Performer 4 Legal Name	Performer 4 Main Role	Performer 5 Type	Performer 5 Legal Name	Performer 5 Main Role	Only Include/Only Exclude?	Territories (ISO Codes)	md5 Checksum	Filesize	Is Mastered for iTunes?	Mastering Studio Email-Address	Excluded DMS	Streaming allowed	Bundle Only
Wie ein Komet	German	Wie ein Komet	Germany	Blue Door Records Christian Lösch		Wie ein Komet							2013-03-15	2013-03-15	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2013 Blue Door Records Christian Lösch	4050486094990	4050486094990	1363086284278	1363086284278_00432		1363086284278_01_01.flac	1	1	Wie Ein Komet (Fox-Mix 2013)	German		Wie ein Komet							Front	No	DEZ651315949	No	2013 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	ZARON, ANDREAS	MAREN MUSIKVERLAG																		7c02e15ad0d83d6d1a613d4f12418150	30292797	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iTunes/Apple|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Wie ein Komet	German	Wie ein Komet	Germany	Blue Door Records Christian Lösch		Wie ein Komet							2013-03-15	2013-03-15	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2013 Blue Door Records Christian Lösch	4050486094990	4050486094990	1363086284278	1363086284278_00432		1363086284278_01_02.flac	1	2	Wie Ein Komet (Fox-Mix 2013)	German	Karaoke Version	Wie ein Komet							Front	No	DEZ651315950	No	2013 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	ZARON, ANDREAS	MAREN MUSIKVERLAG																		3efbaddd77fe3d7ef2c1182dfc967318	29764961	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iTunes/Apple|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Wie ein Komet	German	Chris Martin	Germany	Blue Door Records Christian Lösch		Chris Martin							2013-03-15	2013-03-15	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2013 Blue Door Records Christian Lösch	4260149824325	4260149824325	1362941197005	1362941197005_00432	Tribute Version	1362941197005_01_01.flac	1	1	Wie Ein Komet (Fox-Mix 2013)	German		Chris Martin							Front	No	DEHT41302514	No	2013 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	ZARON, ANDREAS	MAREN MUSIKVERLAG																		7c02e15ad0d83d6d1a613d4f12418150	30292797	No		24/7EntertainmentGmbH|7Digital|Altacom|AmazonDigitalServicesInc.|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dixero|Dubstore|Flipagram|GoogleMusic|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|MediaNet|MondiaMedia|MusiwaveVideo|Napster|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|Slacker|SoundExchange|Spotify|TIDAL|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Wie ein Komet	German	Chris Martin	Germany	Blue Door Records Christian Lösch		Chris Martin							2013-03-15	2013-03-15	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2013 Blue Door Records Christian Lösch	4260149824325	4260149824325	1362941197005	1362941197005_00432	Tribute Version	1362941197005_01_02.flac	1	2	Wie Ein Komet (Fox-Mix 2013)	German	Karaoke Version	Chris Martin							Front	No	DEHT41302515	No	2013 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	ZARON, ANDREAS	MAREN MUSIKVERLAG																		3efbaddd77fe3d7ef2c1182dfc967318	29764961	No		24/7EntertainmentGmbH|7Digital|Altacom|AmazonDigitalServicesInc.|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dixero|Dubstore|Flipagram|GoogleMusic|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|MediaNet|MondiaMedia|MusiwaveVideo|Napster|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|Slacker|SoundExchange|Spotify|TIDAL|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)	German	Küss Mich Halt Mich Lieb Mich Drei Haselnüsse Für Aschenbrödel	Germany	Blue Door Records Christian Lösch		Küss Mich Halt Mich Lieb Mich Drei Haselnüsse Für Aschenbrödel							2012-11-16	2012-11-16	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Soundtracks	Soundtracks	2012 Blue Door Records Christian Lösch	4050486088081	4050486088081	1353069455746	1353069455746_00383		1353069455746_01_01.flac	1	1	Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)	German		Küss Mich Halt Mich Lieb Mich Drei Haselnüsse Für Aschenbrödel							Front	No	DEZ651214396	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	SVOBODA, KAREL RICHARD	PROVOX MUSIC PUBLISHING S R O																		4503b81d225c39ac582fc3d454d16b8d	27921295	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iHeartRadio|iTunes/Apple|JunoRecords|KKBOX|NMusic|Pandora|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Saavn|Shazam|SimfyAfrica|SiriusXM|SoundExchange|Touchtunes|Traxsource|UMA|VEVO|XboxMusic|YouTubeArtTracks	Yes	No
Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)	German	Küss Mich Halt Mich Lieb Mich Drei Haselnüsse Für Aschenbrödel	Germany	Blue Door Records Christian Lösch		Küss Mich Halt Mich Lieb Mich Drei Haselnüsse Für Aschenbrödel							2012-11-16	2012-11-16	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Soundtracks	Soundtracks	2012 Blue Door Records Christian Lösch	4050486088081	4050486088081	1353069455746	1353069455746_00383		1353069455746_01_02.flac	1	2	Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)	German	Karaoke Version	Küss Mich Halt Mich Lieb Mich Drei Haselnüsse Für Aschenbrödel							Front	No	DEZ651214397	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	SVOBODA, KAREL RICHARD	PROVOX MUSIC PUBLISHING S R O																		958ea83ac0083a0844b04c4c72284fc2	26511933	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iHeartRadio|iTunes/Apple|JunoRecords|KKBOX|NMusic|Pandora|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Saavn|Shazam|SimfyAfrica|SiriusXM|SoundExchange|Touchtunes|Traxsource|UMA|VEVO|XboxMusic|YouTubeArtTracks	Yes	No
An der Piste (Ist schon wieder geile Party)	German	Chris DeLuxe	Germany	Blue Door Records Christian Lösch		Chris DeLuxe							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823861	4260149823861	1353014180029	1353014180029_00386		1353014180029_01_01.flac	1	1	An der Piste (Ist schon wieder geile Party)	German		Chris DeLuxe							Front	No	DEHT41202234	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Lösch, Christian	Blue Door Musikverlag																		075268f9be77968d8c74b21104e20d57	25009661	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
An der Piste (Ist schon wieder geile Party)	German	Chris DeLuxe	Germany	Blue Door Records Christian Lösch		Chris DeLuxe							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823861	4260149823861	1353014180029	1353014180029_00386		1353014180029_01_02.flac	1	2	An der Piste (Ist schon wieder geile Party)	German	Karaoke Version	Chris DeLuxe							Front	No	DEHT41202235	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Lösch, Christian	Blue Door Musikverlag																		577e3c5a3c13e3af3168f84d8132377c	24868266	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)	German	Kristina Martin	Germany	Blue Door Records Christian Lösch		Kristina Martin							2012-11-16	2012-11-16	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Soundtracks	Soundtracks	2012 Blue Door Records Christian Lösch	4260149823830	4260149823830	1352673923810	1352673923810_00383	Tribute Version	1352673923810_01_01.flac	1	1	Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)	German	Tribute Version	Kristina Martin							Front	No	DEHT41202196	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	SVOBODA, KAREL RICHARD	PROVOX MUSIC PUBLISHING S R O																		4503b81d225c39ac582fc3d454d16b8d	27921295	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iHeartRadio|JunoRecords|MondiaMedia|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)	German	Kristina Martin	Germany	Blue Door Records Christian Lösch		Kristina Martin							2012-11-16	2012-11-16	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Soundtracks	Soundtracks	2012 Blue Door Records Christian Lösch	4260149823830	4260149823830	1352673923810	1352673923810_00383	Tribute Version	1352673923810_01_02.flac	1	2	Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)	German	Karaoke Version	Kristina Martin							Front	No	DEHT41202197	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	SVOBODA, KAREL RICHARD	PROVOX MUSIC PUBLISHING S R O																		958ea83ac0083a0844b04c4c72284fc2	26511933	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iHeartRadio|JunoRecords|MondiaMedia|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_01.flac	1	1	Ab auf die Piste	German		AA Apres-Ski!							Front	No	DEHT41202176	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Erl, Sebastian	Hanseatic Musikverlag																		b4dc45cf4e02ef499b94951ede57b8eb	29135206	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_02.flac	1	2	Nur noch Schuhe an	German		AA Apres-Ski!							Front	No	DEHT41202177	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	KOOPMANS, ANTONIUS; KOOPMANS, GERARDUS	BME SONGS; SCHEDLER, RUDI, MUSIKVERLAG GMBH																		d06799a995daf2b9cd210bd6fbe77ece	28875113	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_03.flac	1	3	Hey wir wollen die Eisbären sehn	German	Apres-Ski 2013 Mix	AA Apres-Ski!							Front	No	DEHT41202178	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Birr, Peter	Puhdys Musikverlag																		c8a3e06ff09975157e8996097c749833	24498366	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_04.flac	1	4	Z'ruck zu dir (Hallo Klaus)	German		AA Apres-Ski!							Front	No	DEHT41202179	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	HALAMA, INGO; PASBRIG, BERNARDO	GET READY MUSIKVERLAG BERNARDO PASBRIG																		57ab8d0fe674fef486900ab6cccc2288	29266857	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_05.flac	1	5	Die Hölle morgen früh	German		AA Apres-Ski!							Front	No	DEHT41202180	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	FRANKFURTER, JEAN	KATRIN EDITION DER SONY/ATV;																		6e3baa34ce3b3590559cb76359fa7a40	28930077	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_06.flac	1	6	Schatzi schenk mir ein Foto	German		AA Apres-Ski!							Front	No	DEHT41202181	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	KOOPMANS, ANTONIUS G J	SCHEDLER, RUDI, MUSIKVERLAG GMBH																		37efb4de5f32100d4410f6ab72132a14	28324752	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_07.flac	1	7	Tage wie diese (An Tagen wie diesen)	German		AA Apres-Ski!							Front	No	DEHT41202182	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	HOLST VON, ANDREAS	PKM PATRICKS KLEINER MUSIKVERLAG GMBH																		39e045f3aed276af6cc2c64b31fd1df0	32165963	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_08.flac	1	8	Schenk mir dein Herz	German		AA Apres-Ski!							Front	No	DEHT41202183	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	FROEHLICH, JAN-PETER	Edition Höhner																		35e6512bbe784687669951db149a2c97	30190184	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_09.flac	1	9	So ein schöner Tag (Fliegerlied)	German		AA Apres-Ski!							Front	No	DEHT41202184	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	DONAUER, ANDREAS	SCHEDLER, RUDI, MUSIKVERLAG GMBH																		499efc33d2b8d141fedce30507591f69	27960682	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_10.flac	1	10	Joana (Du geile Sau)	German	Apres-Ski Mix 2013	AA Apres-Ski!							Front	No	DEHT41202185	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Heider, Joachim	Hansa Musik Produktion GmbH																		c5ba558325a236727414e01c42d44fc5	25217587	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_11.flac	1	11	Du hast mich tausendmal belogen	German		AA Apres-Ski!							Front	No	DEHT41202186	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Roemer	Roemer																		352f9e3f66c129b44f0126989b03ca7f	28903282	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_12.flac	1	12	I sing a Liad für dich	German		AA Apres-Ski!							Front	No	DEHT41202187	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	GABALIER, ANDREAS;	ALPENPOP DEUTSCHLAND, EDITION; STALL, EDITION																		bc09fc398c8e2867f68066636df9a6f4	25376313	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
